step_size,optim_number,x1,x2,x_HJ1,x_HJ2,y,f_calls_HJ,is_global_min_HJ,x_Rosen.1,x_ROsen2,y_Rosen,f_calls_Rosen,is_global_min_Rosen
0.5,88,0.0144909,-0.704641,-0.0273869,-0.746518,0.669206,355,0,7.30811e-07,-0.775083,0.620446,355,0
0.5,89,-0.634902,0.490003,-0.2028,0.922106,2.33526,260,0,-7.91393e-07,0.775083,0.620446,260,0
0.5,90,0.495428,-0.447539,0.0860737,-0.856894,1.05811,360,0,0.775084,-8.0205e-07,0.620446,360,0
0.5,91,-0.361702,0.919404,-0.640552,0.640553,2.19918,311,0,2.62133e-07,0.775084,0.620446,311,0
0.5,92,-0.275289,-0.4145,0.0696059,-0.0696051,0.300892,429,0,-9.22503e-07,-2.21363e-07,2.86304e-11,429,1
0.5,93,-0.730868,0.163259,-0.0603368,0.833791,0.84308,491,0,-0.775083,-4.19757e-07,0.620446,491,0
0.5,94,-0.928,-0.486927,0.109131,0.550203,2.04291,465,0,-8.01247e-08,-6.32441e-08,3.31513e-13,465,1
0.5,95,-0.546209,0.450373,-0.11545,0.881132,1.3672,331,0,1.49663e-07,0.775083,0.620446,331,0
0.5,96,0.921135,0.970405,-0.0246343,0.0246353,0.0384945,237,0,3.0704e-07,0.775083,0.620446,237,0
0.5,97,-0.932191,0.401452,-0.666821,0.666822,1.89179,289,0,-0.775083,0.775083,1.24089,289,0
0.5,98,0.799741,0.49328,0.15323,-0.153231,1.32758,178,0,0.775083,0.775083,1.24089,178,0
0.5,99,-0.159813,0.0730859,-0.116449,0.11645,0.806156,430,0,3.90218e-07,1.55019e-07,5.6084e-12,430,1
0.1,0,0.731683,-0.194579,0.849078,-0.077184,0.977004,237,0,0.775083,-5.08767e-07,0.620446,237,0
0.1,1,0.749918,0.253028,0.616085,0.119195,1.67693,66,0,0.775083,0.0530294,0.708659,66,0
0.1,2,0.892868,0.226179,0.719051,0.0523614,0.80016,65,0,0.775084,0.0261804,0.642176,65,0
0.1,3,0.552942,-0.109306,0.716685,0.0544375,0.814825,47,0,0.75294,2.2371e-07,0.635537,47,0
0.1,4,-0.750208,-0.181196,-0.664573,-0.0955607,1.23583,340,0,-0.775083,4.9566e-07,0.620446,340,0
0.1,5,0.478777,-0.481002,0.850605,-0.109174,1.1574,52,0,0.678776,-0.681001,1.75478,52,0
0.1,6,-0.45422,-0.0669589,-0.193631,0.19363,1.97343,45,0,-0.254221,-2.85753e-07,1.4768,45,0
0.1,7,0.480731,0.943789,0.120734,0.583792,1.90115,49,0,0.680729,0.775083,1.49361,49,0
0.1,8,0.679536,-0.37562,0.904993,-0.150164,1.77803,48,0,0.775084,-0.175622,1.46031,48,0
0.1,9,-0.604254,-0.116114,-0.608827,-0.120687,1.73458,269,0,-0.775084,-4.55936e-07,0.620446,269,0
0.1,10,0.093115,-0.767595,0.0431028,-0.817607,0.736141,261,0,-2.53487e-07,-0.775084,0.620446,261,0
0.1,11,-0.637132,-0.275573,-0.18078,0.180779,1.76317,50,0,-0.775084,-0.0755749,0.797037,50,0
0.1,12,0.243364,0.800468,0.100267,0.657371,1.30314,67,0,0.0433652,0.775083,0.679711,67,0
0.1,13,-0.0846883,-0.995694,0.0691493,-0.841856,0.909722,45,0,-4.7177e-07,-0.795695,0.633815,45,0
0.1,14,-0.332283,0.654565,-0.109996,0.876852,1.30589,47,0,-0.132285,0.775084,1.13038,47,0
0.1,15,-0.42176,-0.232395,-0.0946833,0.0946825,0.545397,35,0,-0.221762,-0.0323963,1.25161,35,0
0.1,16,-0.369758,0.688924,-0.152407,0.906275,1.80477,46,0,-0.16976,0.775083,1.41333,46,0
0.1,17,0.148746,-0.46684,-0.0757256,-0.691312,1.00001,64,0,6.8234e-07,-0.666839,0.945804,64,0
0.1,18,0.887362,0.265765,0.694644,0.0730465,0.973108,66,0,0.775083,0.0657665,0.755103,66,0
